customer_id,customer_name,customer_type,country_of_residence,occupation_or_industry,branch_id,onboarding_channel,risk_rating,pep_flag,annual_income_or_turnover_gbp,relationship_start_date
C00001,Thistle Capital Ltd,Business,United Kingdom,Retail,BR08,Online,Medium,N,1032000,2025-02-24
C00002,Priya Patel,Individual,UAE,Employee,BR05,Online,Medium,N,49100,2025-07-22
C00003,Mei Fraser,Individual,United Kingdom,Self-employed,BR08,Online,Low,N,34400,2024-08-08
C00004,Ironbridge Consulting PLC,Business,Pakistan,Real Estate,BR07,Branch,High,N,2344000,2025-09-21
C00005,Northgate Tech LLP,Business,United Kingdom,Precious Metals,BR02,Relationship Manager,Medium,N,289000,2025-09-04
C00006,Summit Tech PLC,Business,United Kingdom,Precious Metals,BR02,Online,High,N,555000,2024-01-13
C00007,Tom Okafor,Individual,United Kingdom,Employee,BR03,Relationship Manager,Low,N,12700,2025-02-16
C00008,James Shah,Individual,United Kingdom,Employee,BR06,Online,Low,N,36400,2024-12-14
C00009,Sofia Khan,Individual,Cyprus,Self-employed,BR04,Introducer,Medium,N,47000,2025-04-25
C00010,Meridian Consulting Ltd,Business,United Kingdom,Money Services,BR01,Online,Medium,N,433000,2024-07-08
C00011,Ravi Brooks,Individual,France,Self-employed,BR07,Online,Low,N,100800,2024-03-12
C00012,Nadia Carter,Individual,United Kingdom,Employee,BR01,Introducer,Low,N,53000,2024-07-19
C00013,Maria Evans,Individual,United Kingdom,Retired,BR03,Online,Low,N,34600,2025-01-19
C00014,Ethan Okafor,Individual,United Kingdom,Employee,BR04,Introducer,Low,N,92200,2024-07-16
C00015,Priya Doyle,Individual,United States,Self-employed,BR04,Online,Low,N,102600,2024-12-05
C00016,Meridian Construction Ltd,Business,France,Retail,BR01,Branch,Medium,N,1382000,2024-10-11
C00017,Thistle Consulting PLC,Business,United Kingdom,Money Services,BR07,Online,High,N,1202000,2025-05-22
C00018,Harbour Capital Ltd,Business,Ireland,Hospitality,BR08,Relationship Manager,Low,N,1104000,2024-10-27
C00019,Omar Khan,Individual,United Kingdom,Student,BR06,Online,Low,N,16800,2024-04-15
C00020,Grace Evans,Individual,United Kingdom,Employee,BR10,Online,Low,N,39100,2025-04-08
C00021,Olivia Okafor,Individual,Ireland,Self-employed,BR02,Branch,Low,N,21400,2024-06-04
C00022,Nadia Okafor,Individual,United Kingdom,Employee,BR01,Online,Low,N,32900,2024-08-07
C00023,Sofia Ali,Individual,India,Self-employed,BR01,Relationship Manager,Low,N,46900,2025-05-31
C00024,Sofia Nowak,Individual,Hong Kong,Employee,BR07,Introducer,Low,N,12200,2024-07-18
C00025,Ethan Lopez,Individual,Hong Kong,Employee,BR01,Online,Low,N,18800,2024-02-15
C00026,Ravi Shah,Individual,UAE,Student,BR09,Branch,Medium,N,29600,2024-09-20
C00027,Amir Singh,Individual,United Kingdom,Employee,BR05,Branch,Low,N,38900,2024-10-10
C00028,Chen Shah,Individual,India,Employee,BR08,Branch,Low,N,29800,2025-05-16
C00029,Luca Patel,Individual,United Kingdom,Retired,BR03,Relationship Manager,Low,N,34100,2025-06-02
C00030,Nadia Carter,Individual,United Kingdom,Retired,BR07,Online,Low,N,26300,2024-01-01
C00031,Sofia Fraser,Individual,United Kingdom,Retired,BR04,Branch,Low,N,16800,2025-07-07
C00032,Silverline Construction LLP,Business,United Kingdom,Construction,BR04,Relationship Manager,Low,N,2172000,2025-06-30
C00033,Omar Brooks,Individual,Hong Kong,Employee,BR07,Relationship Manager,Low,N,35300,2024-05-06
C00034,Olivia Patel,Individual,Pakistan,Student,BR02,Online,Medium,N,33300,2024-09-04
C00035,Grace Carter,Individual,United Kingdom,Employee,BR09,Relationship Manager,Low,N,42900,2025-07-14
C00036,Aisha Carter,Individual,United Kingdom,Student,BR06,Online,Low,N,51600,2025-02-25
C00037,Summit Imports Ltd,Business,France,Retail,BR07,Branch,Low,N,3150000,2024-09-05
C00038,Maria Walsh,Individual,United Kingdom,Director,BR02,Relationship Manager,Low,N,27400,2025-07-10
C00039,Bluefield Trading Ltd,Business,Nigeria,Money Services,BR01,Branch,High,N,255000,2025-04-06
C00040,Omar Singh,Individual,Panama,Employee,BR01,Introducer,Medium,N,86100,2025-01-08
C00041,Ethan Carter,Individual,United Kingdom,Employee,BR06,Online,Low,N,50600,2024-01-05
C00042,Ravi Patel,Individual,United Kingdom,Employee,BR01,Relationship Manager,Low,N,22600,2025-04-18
C00043,Meridian Logistics Ltd,Business,United Kingdom,Construction,BR10,Branch,Low,N,747000,2024-05-11
C00044,Sofia Okafor,Individual,United Kingdom,Student,BR10,Online,Low,N,76200,2025-11-03
C00045,Daniel Carter,Individual,United Kingdom,Employee,BR01,Relationship Manager,Low,N,113300,2024-05-18
C00046,Priya Brooks,Individual,United Kingdom,Employee,BR07,Relationship Manager,Low,N,46600,2024-01-22
C00047,Daniel Murray,Individual,United Kingdom,Employee,BR02,Relationship Manager,Low,N,75800,2024-10-02
C00048,Omar Nowak,Individual,United Kingdom,Self-employed,BR03,Branch,Low,N,19400,2024-09-12
C00049,Aisha Okafor,Individual,United Kingdom,Employee,BR02,Online,Low,N,39300,2024-09-14
C00050,Maria Khan,Individual,India,Employee,BR08,Online,Low,N,32800,2025-11-08
C00051,Northgate Trading Ltd,Business,United Kingdom,Crypto Assets,BR09,Online,High,N,4574000,2024-07-19
C00052,Northgate Construction Ltd,Business,Pakistan,Real Estate,BR01,Online,High,N,488000,2025-09-04
C00053,Maria Khan,Individual,United Kingdom,Employee,BR02,Online,Low,N,46600,2024-04-28
C00054,Grace Walsh,Individual,United Kingdom,Property Investor,BR04,Online,Low,N,22900,2025-03-26
C00055,Amir Walsh,Individual,United Kingdom,Employee,BR04,Branch,Low,N,18800,2024-04-05
C00056,Jack Nowak,Individual,France,Director,BR01,Relationship Manager,Low,N,107700,2024-06-16
C00057,Olivia Fraser,Individual,United Kingdom,Self-employed,BR08,Introducer,Low,N,54600,2024-04-18
C00058,Olivia Wright,Individual,United Kingdom,Self-employed,BR09,Online,Low,N,52500,2024-08-29
C00059,Northgate Tech Ltd,Business,United Kingdom,Professional Services,BR03,Relationship Manager,Low,N,258000,2024-12-02
C00060,Bluefield Trading Ltd,Business,Panama,Retail,BR08,Relationship Manager,High,N,380000,2025-09-19
C00061,Luca Patel,Individual,United Kingdom,Employee,BR06,Branch,Low,N,22200,2025-07-06
C00062,Larkspur Imports Ltd,Business,United Kingdom,Retail,BR05,Online,Medium,N,83000,2025-05-25
C00063,Mei Lopez,Individual,UAE,Employee,BR08,Introducer,Medium,N,19800,2024-12-23
C00064,Nadia Okafor,Individual,United Kingdom,Self-employed,BR04,Online,Low,N,32400,2024-07-27
C00065,Ravi Brooks,Individual,United Kingdom,Student,BR04,Branch,Low,N,27300,2024-08-04
C00066,Mei Evans,Individual,Nigeria,Employee,BR02,Online,Medium,N,5700,2024-04-06
C00067,Meridian Foods Ltd,Business,United Kingdom,Import/Export,BR06,Relationship Manager,High,N,2228000,2025-04-30
C00068,Bluefield Retail PLC,Business,United Kingdom,Crypto Assets,BR01,Online,Medium,N,2206000,2025-07-24
C00069,Aisha Lopez,Individual,United Kingdom,Student,BR02,Branch,Low,N,35400,2025-02-04
C00070,Northgate Trading LLP,Business,United Kingdom,Import/Export,BR04,Branch,High,N,1506000,2025-02-25
C00071,Ethan Shah,Individual,United States,Student,BR03,Relationship Manager,Low,N,115900,2024-09-29
C00072,Grace Rossi,Individual,Ireland,Employee,BR02,Online,Low,N,48200,2025-12-05
C00073,Omar Evans,Individual,United Kingdom,Employee,BR02,Introducer,Low,N,49000,2025-10-10
C00074,Larkspur Holdings Ltd,Business,United Kingdom,Crypto Assets,BR08,Online,High,N,857000,2024-10-24
C00075,Olivia Walsh,Individual,France,Self-employed,BR05,Relationship Manager,Low,N,67700,2025-07-05
C00076,Olivia Shah,Individual,Germany,Retired,BR03,Branch,Low,N,52700,2024-09-12
C00077,Ravi Nowak,Individual,United Kingdom,Property Investor,BR08,Relationship Manager,Low,N,47500,2024-03-31
C00078,Larkspur Logistics Ltd,Business,Pakistan,Professional Services,BR08,Relationship Manager,High,N,819000,2024-07-31
C00079,Kestrel Consulting Ltd,Business,United Kingdom,Construction,BR01,Online,Medium,N,1828000,2025-09-02
C00080,Harbour Imports Ltd,Business,Nigeria,Money Services,BR05,Online,High,N,962000,2024-12-18
C00081,Crest Motors LLP,Business,United Kingdom,Retail,BR02,Relationship Manager,Medium,N,500000,2025-09-24
C00082,Meridian Holdings PLC,Business,United Kingdom,Real Estate,BR04,Relationship Manager,High,Y,258000,2024-08-23
C00083,Grace Murray,Individual,France,Retired,BR06,Online,Low,N,17200,2024-12-02
C00084,Sofia Brooks,Individual,Nigeria,Self-employed,BR01,Online,Medium,N,83000,2024-02-23
C00085,Kestrel Logistics LLP,Business,United Kingdom,Construction,BR04,Relationship Manager,Medium,N,295000,2025-07-24
C00086,Priya Brooks,Individual,United Kingdom,Student,BR02,Online,Low,N,55300,2024-08-16
C00087,Jack Ali,Individual,Nigeria,Employee,BR04,Online,Medium,N,18600,2024-03-07
C00088,Grace Khan,Individual,United Kingdom,Senior Public Official,BR01,Online,Medium,Y,152600,2024-06-09
C00089,Pinnacle Construction Ltd,Business,United Kingdom,Retail,BR08,Branch,Low,N,315000,2025-05-01
C00090,Ravi Wright,Individual,Ireland,Retired,BR04,Relationship Manager,Low,N,41800,2025-08-19
C00091,Silverline Capital Ltd,Business,United Kingdom,Hospitality,BR02,Relationship Manager,Medium,N,1860000,2025-11-28
C00092,Tom Patel,Individual,United Kingdom,Employee,BR07,Online,Low,N,39200,2024-06-21
C00093,James Hughes,Individual,United Kingdom,Employee,BR01,Online,Low,N,31100,2025-03-07
C00094,Northgate Holdings Ltd,Business,United States,Professional Services,BR05,Branch,Low,N,1201000,2024-12-01
C00095,Mei Patel,Individual,United Kingdom,Employee,BR04,Branch,Low,N,31100,2025-06-06
C00096,Ethan Murray,Individual,Germany,Retired,BR01,Introducer,Low,N,79500,2025-05-06
C00097,Priya Fraser,Individual,Panama,Retired,BR02,Relationship Manager,Medium,N,21700,2024-02-21
C00098,Thistle Construction Ltd,Business,Germany,Professional Services,BR01,Online,Medium,N,396000,2024-04-19
C00099,Zara Lopez,Individual,United Kingdom,Self-employed,BR07,Branch,Low,N,34300,2025-03-07
C00100,Amir Reid,Individual,United Kingdom,Retired,BR06,Branch,Low,N,54000,2025-01-23
C00101,Ironbridge Consulting Ltd,Business,United Kingdom,Technology,BR01,Online,Medium,N,820000,2025-10-09
C00102,Brightwater Trading Ltd,Business,United Kingdom,Hospitality,BR01,Branch,Medium,N,496000,2025-09-11
C00103,Sofia Patel,Individual,Hong Kong,Employee,BR09,Online,Low,N,47100,2024-02-12
C00104,Daniel Mensah,Individual,Nigeria,Director,BR02,Introducer,Medium,N,59700,2025-03-02
C00105,Sofia Ali,Individual,United Kingdom,Employee,BR02,Online,Low,N,23400,2024-10-24
C00106,Omar Carter,Individual,United Kingdom,Employee,BR06,Relationship Manager,Low,N,50700,2024-12-18
C00107,Grace Rossi,Individual,Pakistan,Student,BR01,Branch,Medium,N,105300,2024-02-17
C00108,Nadia Okafor,Individual,United Kingdom,Employee,BR10,Online,Low,N,14600,2025-09-05
C00109,Amir Doyle,Individual,UAE,Retired,BR01,Relationship Manager,Medium,N,53800,2024-04-30
C00110,Omar Walsh,Individual,United Kingdom,Employee,BR08,Relationship Manager,Low,N,60200,2025-11-23
C00111,Nadia Evans,Individual,France,Student,BR03,Online,Low,N,96400,2025-11-11
C00112,Priya Rossi,Individual,Nigeria,Property Investor,BR01,Online,Medium,N,62000,2025-08-23
C00113,Ethan Khan,Individual,United Kingdom,Property Investor,BR03,Branch,Low,N,42600,2024-03-26
C00114,Silverline Holdings LLP,Business,United Kingdom,Crypto Assets,BR10,Online,Medium,N,186000,2024-10-25
C00115,Crest Logistics Ltd,Business,UAE,Technology,BR04,Branch,High,N,377000,2024-01-18
C00116,Silverline Foods Ltd,Business,United Kingdom,Professional Services,BR01,Branch,Medium,N,1420000,2025-03-23
C00117,Luca Okafor,Individual,United Kingdom,Property Investor,BR10,Online,Low,N,18000,2025-09-23
C00118,James Nowak,Individual,United Kingdom,Director,BR01,Branch,Low,N,98000,2025-01-19
C00119,Redwood Capital Ltd,Business,United Kingdom,Real Estate,BR01,Branch,High,N,481000,2024-01-17
C00120,Sofia Hughes,Individual,Germany,Employee,BR01,Branch,Low,N,23200,2024-08-09
C00121,Aisha Fraser,Individual,United Kingdom,Employee,BR08,Online,Low,N,47200,2024-05-04
C00122,Daniel Lopez,Individual,United Kingdom,Self-employed,BR01,Relationship Manager,Low,N,80500,2024-11-14
C00123,Hannah Shah,Individual,United States,Student,BR01,Introducer,Low,N,72800,2024-09-28
C00124,Kestrel Tech Ltd,Business,United Kingdom,Hospitality,BR10,Branch,Low,N,572000,2025-08-29
C00125,Grace Rossi,Individual,United Kingdom,Employee,BR05,Branch,Low,N,6100,2024-06-10
C00126,Bluefield Logistics Ltd,Business,Germany,Real Estate,BR02,Relationship Manager,High,N,223000,2024-08-07
C00127,Zara Rossi,Individual,Pakistan,Employee,BR05,Branch,Medium,N,23600,2024-06-22
C00128,Daniel Rossi,Individual,United Kingdom,Property Investor,BR02,Online,Low,N,58300,2025-10-12
C00129,Omar Wright,Individual,UAE,Employee,BR04,Branch,Medium,N,71000,2024-08-03
C00130,Hannah Khan,Individual,United Kingdom,Employee,BR03,Online,Low,N,78300,2025-12-25
C00131,Maria Nowak,Individual,United Kingdom,Employee,BR05,Branch,Low,N,114300,2025-05-02
C00132,Mei Ali,Individual,Cyprus,Retired,BR07,Online,Medium,N,84300,2024-08-12
C00133,Kestrel Foods Ltd,Business,Pakistan,Technology,BR03,Online,High,N,2496000,2025-03-10
C00134,Jack Evans,Individual,United Kingdom,Employee,BR01,Branch,Low,N,91800,2024-03-30
C00135,Meridian Trading Ltd,Business,United Kingdom,Professional Services,BR03,Online,Low,N,418000,2025-10-22
C00136,Larkspur Logistics Ltd,Business,United Kingdom,Hospitality,BR07,Online,Low,N,456000,2025-11-30
C00137,Omar Khan,Individual,United Kingdom,Employee,BR07,Introducer,Low,N,18500,2024-08-02
C00138,Summit Motors Ltd,Business,United States,Import/Export,BR07,Online,High,N,306000,2024-05-05
C00139,James Carter,Individual,Nigeria,Employee,BR10,Branch,Medium,N,41700,2024-11-09
C00140,Olivia Okafor,Individual,United Kingdom,Employee,BR08,Online,Low,N,83900,2025-07-17
C00141,Meridian Consulting Ltd,Business,United Kingdom,Construction,BR10,Branch,Low,N,1217000,2025-04-03
C00142,Northgate Property Ltd,Business,United Kingdom,Hospitality,BR05,Relationship Manager,Medium,N,423000,2024-01-29
C00143,Daniel Patel,Individual,United Kingdom,Employee,BR02,Relationship Manager,Low,N,9300,2024-01-07
C00144,Chen Evans,Individual,India,Employee,BR05,Branch,Low,N,31400,2024-06-21
C00145,Priya Walsh,Individual,United Kingdom,Employee,BR02,Online,Low,N,37800,2025-07-05
C00146,Ironbridge Foods Ltd,Business,United Kingdom,Retail,BR01,Online,Low,N,2181000,2024-07-09
C00147,Daniel Nowak,Individual,Ireland,Employee,BR02,Branch,Low,N,76400,2025-10-15
C00148,Jack Walsh,Individual,Russia,Property Investor,BR03,Online,Medium,N,20800,2024-08-05
C00149,Daniel Brooks,Individual,United Kingdom,Employee,BR06,Online,Low,N,59600,2025-10-14
C00150,Priya Wright,Individual,United Kingdom,Employee,BR03,Online,Low,N,83800,2025-11-03
C00151,Nadia Fraser,Individual,United Kingdom,Employee,BR01,Online,Low,N,164000,2025-06-16
